uri	english	language	translation
http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43	machine learning	bg	машинно самообучение
http://data.europa.eu/esco/skill/9b04cd15-b9c4-442d-9bbb-32e1b2058dca	offshore constructions and facilities	bg	конструкции и съоръжения, разположени в морето
http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4	sustainable footwear materials and components	bg	устойчиви материали и компоненти за обувки
http://data.europa.eu/esco/skill/589f0d24-0846-4971-bc6c-a42bb274f69a	airtight construction	bg	въздухонепроницаеми конструкции
http://data.europa.eu/esco/skill/5100aeb3-948d-4163-91ad-703a4116bdba	commission evaluation 	bg	оценка на поръчка
http://data.europa.eu/esco/skill/436b8f31-1a12-408a-be5f-a951942fbf92	simulation-based clinical education 	bg	симулационно клинично образование
http://data.europa.eu/esco/skill/2e5d8410-00fd-4c3e-87fa-7c72c0d235ba	marine biology 	bg	морска биология
http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa	cloud security and compliance	bg	облачна сигурност и съответствие
http://data.europa.eu/esco/skill/e2b05bcb-b60e-45b5-baa6-3a67ebe77538	advanced driver assistant systems	bg	усъвършенствани системи за съдействие на водача
http://data.europa.eu/esco/skill/d5bcc417-a004-4165-b7f1-ab739eadd2f4	smart city features	bg	характеристики на интелигентните градове
http://data.europa.eu/esco/skill/0d73a5c0-7f95-4ede-92f3-eac434a970a9	marine engineering	bg	морско инженерство
http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca	climate smart agriculture	bg	интелигентно по отношение на климата земеделие
http://data.europa.eu/esco/skill/a4881e54-6055-4e61-855a-0a56ced7cfa3	web strategy assessment	bg	оценка на уеб стратегия
http://data.europa.eu/esco/skill/c28553f4-1745-401a-82b3-7ce8460bed33	capacity building	bg	изграждане на капацитет
http://data.europa.eu/esco/skill/945b8655-5577-4c3a-946a-842d4527afa8	digital image processing	bg	цифрова обработка на изображения
http://data.europa.eu/esco/skill/829d1376-41bf-4c41-9bc3-62dce647677c	artificial lighting systems	bg	системи за изкуствено осветление
http://data.europa.eu/esco/skill/97272b3e-d497-4420-893d-612b15d377d9	e-agriculture	bg	електронно селско стопанство
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk modelling	bg	моделиране на риска
http://data.europa.eu/esco/skill/dda745dd-b8d6-45d8-8c74-e05495ce90f5	sustainable development goals 	bg	цели за устойчиво развитие
http://data.europa.eu/esco/skill/debd4fe7-58c9-499e-8a7e-b42984afe728	distribution of heating cooling and hot water	bg	разпределение на отопление, охлаждане и топла вода
http://data.europa.eu/esco/skill/a4fe0844-8544-4a0a-a796-c1d3071598e2	validation of learning acquired through volunteering 	bg	валидиране на наученото чрез доброволчески дейности
http://data.europa.eu/esco/skill/4600a787-39b0-4bf1-aa69-e586262342f0	state aid regulations	bg	регламенти за държавна помощ
http://data.europa.eu/esco/skill/59998878-fa14-458a-9085-06b45e89df1b	types of heat pumps	bg	видове термопомпи
http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080	deep learning	bg	дълбоко самообучение
http://data.europa.eu/esco/skill/149e5f0d-eb46-4e75-9265-e91f6b2ca596	social innovation	bg	социални иновации
http://data.europa.eu/esco/skill/956487a3-5b0b-4d03-8d0e-01e71fb65482	social bonds	bg	облигации за социално въздействие
http://data.europa.eu/esco/skill/7109d172-c370-47fe-ac81-8fe93550a9e3	impact investing	bg	инвестиции с положително социално или екологично въздействие
http://data.europa.eu/esco/skill/3be79ccc-a455-49b9-8c65-55c50071ba5b	principles of distributed ledger technology	bg	принципи на технологията на разпределения регистър
http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4	artificial neural networks	bg	изкуствени невронни мрежи
http://data.europa.eu/esco/skill/d96078b0-12f4-47d3-a260-61d22050a840	vehicle-to-everything technologies	bg	технологии за комуникация между превозно средство и заобикалящата го среда
http://data.europa.eu/esco/skill/251b5528-693c-4ef9-a7f6-9924bb8d7ef8	decentralized application frameworks	bg	рамки за децентрализирани приложения
http://data.europa.eu/esco/skill/31f53419-4bce-4b10-986a-70a9c7ac41a3	micro mobility devices	bg	устройства за микромобилност
http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751	model based system engineering	bg	моделно базирано системно инженерство
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance	bg	превантивна поддръжка
http://data.europa.eu/esco/skill/d90c6800-e653-4bdf-bc39-5f4e366fe68d	advanced materials	bg	авангардни материали
http://data.europa.eu/esco/skill/8894e128-e6d1-4cb3-8f92-e7b5c9eaf774	humanitarian aid	bg	хуманитарна помощ
http://data.europa.eu/esco/skill/6f30181d-65b5-4527-b36e-a686d47fed84	bicycle sharing systems	bg	системи за съвместно ползване на велосипеди
http://data.europa.eu/esco/skill/605399ce-4736-4b41-b41e-92ecf2139454	Solidity	bg	Solidity
http://data.europa.eu/esco/skill/3bc08c26-2f98-4730-bbb6-ec4a8566e3cf	procurement lifecycle	bg	жизнен цикъл на поръчките
http://data.europa.eu/esco/skill/734b6025-0d14-499d-8e95-fdf512058e77	image formation	bg	формиране на изображения
http://data.europa.eu/esco/skill/ba8b530e-8f6f-4667-b734-3358797c0595	vehicle type-approval	bg	одобрение на типа превозно средство
http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b	assistive technology in education	bg	помощни технологии в образованието
http://data.europa.eu/esco/skill/61ab84b5-7b8c-4d1f-a473-97dba10c88ac	microfinance	bg	микрофинансиране
http://data.europa.eu/esco/skill/5f1f365c-ad8c-4291-9ba5-79e2132a334d	fuel cell types	bg	видове горивни елементи
http://data.europa.eu/esco/skill/c5449667-9b40-4114-8d74-f51177669984	policy analysis	bg	анализ на политики
http://data.europa.eu/esco/skill/fae7e545-5114-43cc-8e83-178e2549ecb9	building information modelling	bg	строително-информационно моделиране
http://data.europa.eu/esco/skill/ae3d940c-9966-49ae-8e61-d11f30128f6b	commercial clothing glossary	bg	търговски речник на шивашката промишленост
http://data.europa.eu/esco/skill/d6b31d8d-2f47-425a-a2b2-a6dddb3d2b19	types of digital badges	bg	видове цифрови значки
http://data.europa.eu/esco/skill/d2759db0-9d3b-4942-80c3-1684890f5fb0	youth-centered approach	bg	подход, насочен към младежите
http://data.europa.eu/esco/skill/a276b1ad-c0b7-4b33-899c-0fbfcdbe0eee	5S methodology	bg	методология 5S
http://data.europa.eu/esco/skill/a06a0d41-10fa-4ba7-a988-e8b5eba966fb	mobility as a service	bg	мобилността като услуга
http://data.europa.eu/esco/skill/55514865-3066-4abd-86a9-dbe45a440882	root cause analysis	bg	анализ на първопричините
http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15	human-robot collaboration	bg	сътрудничество човек—робот
http://data.europa.eu/esco/skill/e9e57db9-a6ef-4e44-a33c-a022d7c4a17f	environmental indoor quality	bg	качество на средата в затворени помещения
http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669	computer vision	bg	компютърно зрение
http://data.europa.eu/esco/skill/3c1622fc-6c95-4b51-98da-1814ebe6e889	geothermal energy systems	bg	геотермални енергийни системи
http://data.europa.eu/esco/skill/d9a9cb71-a62e-4800-a518-cfb61f8b15cd	category specific expertise	bg	експертни познания за конкретна категория
http://data.europa.eu/esco/skill/f2412a5c-8072-4cd7-8fa1-806864f91276	by-products and waste	bg	странични продукти и отпадъци
http://data.europa.eu/esco/skill/802e6973-3270-4cf0-86e4-a6835caf1ba6	project management methodology (PM²)	bg	методология за управление на проекти (PM²)
http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758	GDPR	bg	Общ регламент относно защитата на данните
